date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:57	94/94	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:57	98/98	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-red-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-red-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:57	103/103	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:58	95/95	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-red-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-red-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:58	86/86	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/legend-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/legend-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:58	121/121	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:58	111/111	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:58	121/121	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-active-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-active-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:59	111/111	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:59	100/100	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:59	93/93	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-active-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-red-active-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:59	110/110	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-disabled-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-disabled-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:00	113/113	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:00	116/116	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:00	90/90	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-active-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/button-element-grey-active-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:00	104/104	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/content-dark-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/content-dark-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:00	131/131	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/white20.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/white20.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:01	139/139	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/block-header-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/block-header-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:01	117/117	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/block-header-red-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/block-header-red-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:01	108/108	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/block-controls-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/block-controls-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:01	190/190	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/controls-bt-sep.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/controls-bt-sep.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:01	86/86	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/controls-bt-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/controls-bt-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:02	551/551	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/control-double-180.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/control-double-180.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:02	458/458	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/control-180.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/control-180.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:02	470/470	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/control.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/control.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:02	564/564	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/control-double.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/control-double.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:03	118/118	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/block-control-hover-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/block-control-hover-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:03	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/controls-tabs-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/controls-tabs-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:03	106/106	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/block-footer-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/block-footer-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:03	2209/2209	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/switch-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/switch-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:03	1737/1737	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/mini-switch-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/mini-switch-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:04	706/706	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/information-ocre.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/information-ocre.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:04	674/674	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/balloon.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/balloon.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:04	729/729	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/cross-circle.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/cross-circle.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:04	724/724	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/tick-circle.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/tick-circle.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:04	723/723	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/info-loader.gif	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/info-loader.gif	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:05	344/344	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/cross-small.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/cross-small.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:05	86/86	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/tabs-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/tabs-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:46:05	92/92	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/mini-tabs-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/mini-tabs-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
